zip,total,grand_total,percent
21078,52199.86,20328513.18,0.25678149473005385
21082,730.92,20328513.18,0.003595540871720555
21083,45,20328513.18,2.213639512223294e-4
21084,5903.96,20328513.18,0.029042753632412974
21085,10388.52,20328513.18,0.051103196323382075
21087,2872.35,20328513.18,0.014129661006521285
21090,8394.64,20328513.18,0.04129490398864478
21093,100859.02,20328513.18,0.49614558185804325
21094,2111,20328513.18,0.010384428911785273
21101,228.8,20328513.18,0.0011255127119926436
21102,6690.81,20328513.18,0.03291342529950831
21104,18593.88,20328513.18,0.09146699434119658
21105,70,20328513.18,3.443439241236235e-4
21106,250,20328513.18,0.001229799729012941
21108,39812.55,20328513.18,0.19584585280525668
21111,22119.91,20328513.18,0.10881223729516257
21112,37.5,20328513.18,1.8446995935194116e-4
21113,70935.15,20328513.18,0.3489441129899693
21114,42239.22,20328513.18,0.20778312523887202
21117,93614.29,20328513.18,0.4605073138949555
21118,5,20328513.18,2.459599458025882e-5
21120,19602.23,20328513.18,0.09642726856819737
21122,33814.73,20328513.18,0.16634138316258307
21123,281,20328513.18,0.0013822948954105457
21127,61,20328513.18,3.000711338791576e-4
21128,7233.1,20328513.18,0.035581057679694016
21130,10,20328513.18,4.919198916051764e-5
21131,30505.57,20328513.18,0.1500629668775412
21132,5315.54,20328513.18,0.026148198606229793
21133,22103.65,20328513.18,0.10873225112078759
21134,26,20328513.18,1.278991718173459e-4
21135,20,20328513.18,9.838397832103528e-5
21136,52960.24,20328513.18,0.26052195520184124
21139,2115.97,20328513.18,0.01040887733039805
21140,4726.27,20328513.18,0.023249462260967975
21141,110,20328513.18,5.41111880765694e-4
21143,25,20328513.18,1.229799729012941e-4
21144,35828.15,20328513.18,0.17624579664414003
21145,3772.63,20328513.18,0.018558317406664367
21146,70244.53,20328513.18,0.34554681583456565
21147,84,20328513.18,4.132127089483482e-4
21150,209,20328513.18,0.0010281125734548186
21152,11330.96,20328513.18,0.055739246149825894
21153,9738.41,20328513.18,0.04790517591606766
21154,2182.7,20328513.18,0.010737135474066186
21155,3240.2,20328513.18,0.015939188327790926
21156,140,20328513.18,6.88687848247247e-4
21157,32402.09,20328513.18,0.1593923260058117
21158,22464.46,20328513.18,0.1105071472816882
2116,110,20328513.18,5.41111880765694e-4
21160,1060.9,20328513.18,0.005218778130039317
21161,6702.56,20328513.18,0.03297122588677191
21162,1595.2,20328513.18,0.007847106110885774
21163,30176.28,20328513.18,0.14844312386647454
21167,3,20328513.18,1.4757596748155293e-5
21174,117,20328513.18,5.755462731780565e-4
21200,130,20328513.18,6.394958590867294e-4
21201,82719.03,20328513.18,0.40691136271285333
21202,45354.85,20328513.18,0.22310952895769035
21203,411.5,20328513.18,0.0020242503539553013
21204,117834.82,20328513.18,0.5796529188171547
21205,2978.94,20328513.18,0.014653998418983242
21206,16673.48,20328513.18,0.08202016474281076
21207,34070.12,20328513.18,0.16759769737375355
21208,137641.51,20328513.18,0.6770859667957281
21209,130606.97,20328513.18,0.6424816652528054
21210,260565.02,20328513.18,1.2817711639450062
21211,74976.25,20328513.18,0.3688230877296261
21212,242068.99,20328513.18,1.1907855132177454
21213,16141.18,20328513.18,0.07940167515979642
21214,32376.71,20328513.18,0.1592674767373223
21215,29343.13,20328513.18,0.144344693289566
21216,9890.39,20328513.18,0.048652795767329206
21217,58129.64,20328513.18,0.28595126207847926
21218,233353.34,20328513.18,1.1479114971850588
21219,3516.2,20328513.18,0.017296887228621213
21220,9782.31,20328513.18,0.04812112874848233
21221,6303.52,20328513.18,0.031008268751310616
21222,11690.12,20328513.18,0.05750602563251505
21223,3205.8,20328513.18,0.015769967885078746
21224,56778.43,20328513.18,0.27930439131112095
21225,4071.32,20328513.18,0.020027632930899868
21226,3032.2,20328513.18,0.01491599495325216
21227,11353.08,20328513.18,0.055848058829848966
21228,103301,20328513.18,0.5081581672270633
21229,23745.39,20328513.18,0.1168082967492264
21230,116684.92,20328513.18,0.5739963319835868
21231,51431.23,20328513.18,0.253000450867209
21232,328,20328513.18,0.0016134972444649786
21234,61279.74,20328513.18,0.3014472305839339
21235,16.5,20328513.18,8.116678211485411e-5
21236,14840.77,20328513.18,0.07300469969737354
21237,11458.52,20328513.18,0.056366739163557465
21238,95,20328513.18,4.6732389702491763e-4
21239,24702.59,20328513.18,0.12151695395167116
21240,25,20328513.18,1.229799729012941e-4
21243,2,20328513.18,9.838397832103528e-6
21244,20889.98,20328513.18,0.10276196697234304
21245,27.5,20328513.18,1.352779701914235e-4
21246,25,20328513.18,1.229799729012941e-4
21248,27.5,20328513.18,1.352779701914235e-4
21250,2000,20328513.18,0.009838397832103527
21251,74.7,20328513.18,3.674641590290668e-4
21252,100,20328513.18,4.919198916051764e-4
21257,57.08,20328513.18,2.807878741282347e-4
21258,45,20328513.18,2.213639512223294e-4
21282,1787.5,20328513.18,0.00879306806244253
21283,25,20328513.18,1.229799729012941e-4
21284,1263.5,20328513.18,0.006215407830431404
21285,279.1,20328513.18,0.0013729484174700476
21286,49783.92,20328513.18,0.24489700530080774
21287,175,20328513.18,8.608598103090588e-4
21292,45,20328513.18,2.213639512223294e-4
21293,25,20328513.18,1.229799729012941e-4
21296,101,20328513.18,4.968390905212282e-4
21297,50,20328513.18,2.459599458025882e-4
2130,45,20328513.18,2.213639512223294e-4
21301,100,20328513.18,4.919198916051764e-4
21302,190,20328513.18,9.346477940498353e-4
21304,64,20328513.18,3.148287306273129e-4
21306,126,20328513.18,6.198190634225223e-4
21307,70,20328513.18,3.443439241236235e-4
21308,31,20328513.18,1.524951663976047e-4
21309,5.5,20328513.18,2.7055594038284703e-5
21310,21.5,20328513.18,1.0576277669511292e-4
21313,3,20328513.18,1.4757596748155293e-5
21317,15,20328513.18,7.378798374077646e-5
21318,188,20328513.18,9.248093962177317e-4
21328,60,20328513.18,2.9515193496310586e-4
21330,60,20328513.18,2.9515193496310586e-4
21334,25,20328513.18,1.229799729012941e-4
21336,20,20328513.18,9.838397832103528e-5
21344,67,20328513.18,3.295863273754682e-4
21401,258681.51,20328513.18,1.2725058035946337
21402,1472.22,20328513.18,0.007242143028189729
21403,188658.41,20328513.18,0.9280482459760493
21404,270.6,20328513.18,0.0013311352266836074
21405,11636.96,20328513.18,0.05724452101813773
21408,49,20328513.18,2.4104074688653643e-4
21409,67478.85,20328513.18,0.33194188577641964
21412,10,20328513.18,4.919198916051764e-5
21422,44.5,20328513.18,2.1890435176430352e-4
21428,40,20328513.18,1.9676795664207055e-4
21491,15,20328513.18,7.378798374077646e-5
21493,50,20328513.18,2.459599458025882e-4
21498,150,20328513.18,7.378798374077646e-4
21501,115,20328513.18,5.657078753459529e-4
21502,30686.86,20328513.18,0.15095476844903225
21503,103,20328513.18,5.066774883533317e-4
21504,5.5,20328513.18,2.7055594038284703e-5
21520,172.5,20328513.18,8.485618130189293e-4
21521,168.5,20328513.18,8.288850173547223e-4
21530,5845.3,20328513.18,0.02875419342399738
21531,446.1,20328513.18,0.0021944546364506923
21532,7935.4,20328513.18,0.03903581107843717
21536,1244.3,20328513.18,0.00612095921124321
21539,97,20328513.18,4.771622948570212e-4
21541,1165.67,20328513.18,0.00573416260047406
21545,173.5,20328513.18,8.534810119349811e-4
21550,9914.01,20328513.18,0.048768987245726356
21555,4643,20328513.18,0.02283984056722834
21557,165,20328513.18,8.116678211485411e-4
21560,13,20328513.18,6.394958590867295e-5
21561,2350.7,20328513.18,0.011563560891962883
21562,174,20328513.18,8.55940611393007e-4
21592,16.5,20328513.18,8.116678211485411e-5
21601,98872.32,20328513.18,0.4863726093715232
21602,5,20328513.18,2.459599458025882e-5
21607,110,20328513.18,5.41111880765694e-4
21610,9877.32,20328513.18,0.04858850183749641
21612,4548,20328513.18,0.022372516670203423
21613,21287.97,20328513.18,0.10471975894894249
21614,15,20328513.18,7.378798374077646e-5
21617,11513.66,20328513.18,0.056637983791788554
21619,17950.83,20328513.18,0.08830370347822951
21620,91615.14,20328513.18,0.4506730973819306
21622,55,20328513.18,2.70555940382847e-4
21623,2102.5,20328513.18,0.010342615720998833
21624,1341,20328513.18,0.006596645746425415
21625,1094.22,20328513.18,0.005382685837922161
21628,483.5,20328513.18,0.002378432675911028
21629,4987.22,20328513.18,0.02453312721811168
21631,152.5,20328513.18,7.50177834697894e-4
21632,3807.83,20328513.18,0.01873147320850939
21635,3784.59,20328513.18,0.018617151025700347
21636,211,20328513.18,0.0010379509712869224
21638,8485.12,20328513.18,0.04173999310656915
21639,2797.75,20328513.18,0.013762688767383824
21640,15,20328513.18,7.378798374077646e-5
21641,88,20328513.18,4.3288950461255524e-4
21643,3808.88,20328513.18,0.018736638367371244
21645,2012.83,20328513.18,0.009901511154196473
21647,3788.28,20328513.18,0.01863530286970058
21649,241.5,20328513.18,0.0011879865382265012
21650,2846,20328513.18,0.014000040115083321
21651,1921,20328513.18,0.009449781117735439
21652,1204.36,20328513.18,0.005924486406536102
21653,16,20328513.18,7.870718265682822e-5
21654,55050.57,20328513.18,0.27080470427203174
21655,1154,20328513.18,0.0056767555491237355
21657,2191.5,20328513.18,0.010780424424527441
21658,6788.15,20328513.18,0.03339226012199678
21660,3022,20328513.18,0.01486581912430843
21661,4998.62,20328513.18,0.02458920608575467
21662,38539.58,20328513.18,0.18958386016109025
21663,36987.95,20328513.18,0.18195108354697684
21664,35,20328513.18,1.7217196206181174e-4
21665,1187,20328513.18,0.005839089113353443
21666,19029.29,20328513.18,0.09360886274123467
21667,2544.34,20328513.18,0.012516114570067146
21668,791.3,20328513.18,0.003892562102271761
21669,1660.5,20328513.18,0.008168329800103954
21671,3601.3,20328513.18,0.01771551105637722
21672,229,20328513.18,0.001126496551775854
21673,2351.5,20328513.18,0.011567496251095724
21676,1101,20328513.18,0.005416038006572992
21677,111.5,20328513.18,5.484906791397717e-4
21678,2775.46,20328513.18,0.013653039823545031
21679,257,20328513.18,0.0012642341214253033
21701,104139.09,20328513.18,0.5122808986466171
21702,59244.57,20328513.18,0.29143582452595285
21703,28041.77,20328513.18,0.1379430445881729
21704,22291.88,20328513.18,0.10965819193275601
21705,1584.5,20328513.18,0.00779447068248402
21710,12793.66,20328513.18,0.0629345584043348
21711,38.5,20328513.18,1.893891582679929e-4
21713,5475.23,20328513.18,0.026933745481134096
21714,1572.5,20328513.18,0.007735440295491399
21715,965,20328513.18,0.004747026953989953
21716,5642.74,20328513.18,0.027757760491561933
21717,732.5,20328513.18,0.0036033132060079172
21718,3694,20328513.18,0.018171520795895214
21719,25,20328513.18,1.229799729012941e-4
21720,60,20328513.18,2.9515193496310586e-4
21722,851.5,20328513.18,0.004188697877018078
21723,367.5,20328513.18,0.0018078056016490231
21727,4511.63,20328513.18,0.02219360540562662
21730,0,20328513.18,0
21733,287,20328513.18,0.0014118100889068564
21734,133,20328513.18,6.542534558348846e-4
21737,7322.46,20328513.18,0.0360206372948324
21738,15037.92,20328513.18,0.07397451976367315
21740,19179.42,20328513.18,0.09434738207450151
21741,640,20328513.18,0.003148287306273129
21742,32889.41,20328513.18,0.16178955002158207
21743,30,20328513.18,1.4757596748155293e-4
21750,14904.93,20328513.18,0.07332031549982741
21753,216.5,20328513.18,0.0010650065653252069
21754,19918.18,20328513.18,0.09798148946572392
21755,8883.94,20328513.18,0.04370186801826891
21756,9968.27,20328513.18,0.049035902978911326
21757,875.7,20328513.18,0.00430774249078653
21758,7459.4,20328513.18,0.03669427239439652
21762,740,20328513.18,0.0036402071978783057
21765,675.3,20328513.18,0.003321935028009756
21767,302,20328513.18,0.0014855980726476328
21768,42.5,20328513.18,2.0906595393219997e-4
21769,18807.57,20328513.18,0.09251817795756767
21770,7734.59,20328513.18,0.03804798674410482
21771,27485.39,20328513.18,0.13520610069526
21773,7998.66,20328513.18,0.039346999601866606
21774,14034.81,20328513.18,0.06904002213899246
21775,110,20328513.18,5.41111880765694e-4
21776,4971.74,20328513.18,0.0244569780188912
21777,2415.7,20328513.18,0.011883308821506245
21778,581.5,20328513.18,0.0028605141696841007
21779,4644.86,20328513.18,0.022848990277212197
21780,1868,20328513.18,0.009189063575184694
21781,105,20328513.18,5.165158861854352e-4
21782,2529.42,20328513.18,0.012442720122239653
21783,8533.64,20328513.18,0.04197867263797597
21784,75000.46,20328513.18,0.3689421815353837
21787,2933.7,20328513.18,0.014431453860021058
21788,23259.35,20328513.18,0.1144173693080686
21791,5826.79,20328513.18,0.028663139052061255
21792,185,20328513.18,9.100517994695764e-4
21793,19038.67,20328513.18,0.09365500482706723
21794,5176.07,20328513.18,0.02546211793340805
21795,4091.77,20328513.18,0.020128230548733125
21797,34859.72,20328513.18,0.17148189683786802
21798,3328.34,20328513.18,0.01637276652025173
21801,24053.25,20328513.18,0.11832272132752211
21802,438.22,20328513.18,0.0021556913489922044
21804,29030.13,20328513.18,0.1428049840288418
21806,30,20328513.18,1.4757596748155293e-4
21811,58201.62,20328513.18,0.2863053460164567
21812,12.37,20328513.18,6.085049059156032e-5
21813,3459.72,20328513.18,0.017019050873842607
21814,601.82,20328513.18,0.002960472291658273
21816,864,20328513.18,0.004250187863468724
21817,928.54,20328513.18,0.0045676729615107044
21821,800.42,20328513.18,0.0039374251963861535
21822,1130.89,20328513.18,0.00556307286217378
21824,213,20328513.18,0.0010477893691190259
21826,1614.72,20328513.18,0.007943128873727105
21830,1502.5,20328513.18,0.007391096371367775
21835,20,20328513.18,9.838397832103528e-5
21837,412.5,20328513.18,0.002029169552871353
21838,817.8,20328513.18,0.004022920873547133
21840,1351,20328513.18,0.006645837735585933
21841,182.5,20328513.18,8.97753802179447e-4
21842,11196.53,20328513.18,0.05507795823954106
21843,963.26,20328513.18,0.004738467547876023
21849,916.42,20328513.18,0.004508052270648158
21850,412,20328513.18,0.002026709953413327
21851,3100.82,20328513.18,0.015253550382871633
21853,1125.07,20328513.18,0.0055344431244823585
21856,491.5,20328513.18,0.0024177862672394423
21861,50,20328513.18,2.459599458025882e-4
21863,4112.72,20328513.18,0.020231287766024415
21864,298,20328513.18,0.0014659212769834258
21865,1160.4,20328513.18,0.005708238422186468
21867,38.5,20328513.18,1.893891582679929e-4
21869,447.1,20328513.18,0.002199373835366744
21871,349.5,20328513.18,0.0017192600211600915
21872,163.5,20328513.18,8.042890227744635e-4
21874,313,20328513.18,0.0015397092607242022
21875,5155.56,20328513.18,0.025361225163639835
21884,50,20328513.18,2.459599458025882e-4
21901,10491.42,20328513.18,0.051609381891843796
21902,50,20328513.18,2.459599458025882e-4
21903,5756.78,20328513.18,0.028318745935948478
21904,3114.92,20328513.18,0.015322911087587961
21911,4427.14,20328513.18,0.02177798228920941
21912,1775.5,20328513.18,0.008734037675449908
21913,913,20328513.18,0.00449122861035526
21914,1150,20328513.18,0.0056570787534595286
21915,2856.96,20328513.18,0.014053954535203248
21916,24,20328513.18,1.1806077398524234e-4
21917,2447.5,20328513.18,0.012039739347036693
21918,1089.7,20328513.18,0.005360451058821608
21919,3280.2,20328513.18,0.016135956284432994
21920,52.5,20328513.18,2.582579430927176e-4
21921,23156.18,20328513.18,0.11390985555589954
21922,780,20328513.18,0.003836975154520376
21924,14,20328513.18,6.886878482472469e-5
21931,10.8,20328513.18,5.312734829335905e-5
21943,16.5,20328513.18,8.116678211485411e-5
21965,60,20328513.18,2.9515193496310586e-4
21975,60,20328513.18,2.9515193496310586e-4
